iter	MultiClass
0	1.093391785
1	1.087146478
2	1.081234598
3	1.075243953
4	1.070631928
5	1.064407851
6	1.058352377
7	1.052315312
8	1.047262446
9	1.042369295
10	1.037748521
11	1.034225693
12	1.029721777
13	1.025790304
14	1.020328716
15	1.016641955
16	1.012018867
17	1.007669291
18	1.002920942
19	0.9976908643
20	0.9940375956
21	0.9901583345
22	0.9862279784
23	0.9822058951
24	0.9788017602
25	0.9757073602
26	0.971913797
27	0.9676823227
28	0.9636168098
29	0.959013998
30	0.9543466978
31	0.9496048046
32	0.945456548
33	0.9418963248
34	0.9382137496
35	0.9348406499
36	0.9317821051
37	0.9285772911
38	0.9254040954
39	0.9225524169
40	0.9190127337
41	0.9156504985
42	0.9125544379
43	0.908991763
44	0.9060430314
45	0.9031297873
46	0.9002886713
47	0.8974997395
48	0.8947781504
49	0.8920309993
50	0.8886844423
51	0.8856552777
52	0.882439025
53	0.8799769829
54	0.8770181404
55	0.8742232375
56	0.871448928
57	0.8685672553
58	0.8656955288
59	0.8624974397
60	0.859188583
61	0.8562720262
62	0.8536369696
63	0.8512203885
64	0.8486823149
65	0.8458700584
66	0.8433926854
67	0.8405673237
68	0.8380815398
69	0.8355909666
70	0.8331773715
71	0.8308504339
72	0.8285564235
73	0.8260659794
74	0.823618515
75	0.8215159632
76	0.819183259
77	0.8167322178
78	0.8146931055
79	0.8120289846
80	0.8097125856
81	0.8076566014
82	0.8056261453
83	0.8034178541
84	0.8011706415
85	0.7991807144
86	0.7969466509
87	0.7950294344
88	0.7929341046
89	0.7909663874
90	0.7889830264
91	0.7868023876
92	0.7849441301
93	0.7829174941
94	0.7810605759
95	0.7790959042
96	0.7769099277
97	0.7748135394
98	0.7730160943
99	0.771050787
100	0.769296053
101	0.7676206769
102	0.7657655734
103	0.7642834917
104	0.7624725574
105	0.760807681
106	0.7590120821
107	0.7573215334
108	0.7557114847
109	0.7540639459
110	0.7523500681
111	0.7505309729
112	0.7490007935
113	0.7473917715
114	0.7458088428
115	0.7442765183
116	0.7427676965
117	0.74116661
118	0.7396215813
119	0.7381224765
120	0.7364329358
121	0.7349156953
122	0.7333681447
123	0.7317050928
124	0.7301924691
125	0.7286952692
126	0.7271445479
127	0.7256284216
128	0.7240498365
129	0.7226926808
130	0.7214067777
131	0.7200149853
132	0.7185735502
133	0.7173584748
134	0.7161613164
135	0.7148935961
136	0.7135430166
137	0.7122392141
138	0.7109114093
139	0.7094427101
140	0.7081218838
141	0.7068803933
142	0.7056903413
143	0.7043684898
144	0.7032014777
