iter	Passed	Remaining
0	5648	5643009
1	10075	5027495
2	14402	4786465
3	18949	4718430
4	23395	4655780
5	27773	4601195
6	32268	4577519
7	36849	4569379
8	41272	4544535
9	45729	4527240
10	50440	4535066
11	54911	4521073
12	59325	4504189
13	63780	4491996
14	68161	4475936
15	72591	4464366
16	76988	4451759
17	81349	4438078
18	86167	4448964
19	91076	4462724
20	96050	4477777
21	100976	4488860
22	105839	4495870
23	110718	4502559
24	115673	4511276
25	120616	4518490
26	125484	4522073
27	130367	4525608
28	135223	4527649
29	140118	4530498
30	144952	4530921
31	144992	4386017
32	149863	4391440
33	154689	4394999
34	159546	4398932
35	164421	4402854
36	169297	4406321
37	174109	4407720
38	178924	4408873
39	183805	4411339
40	188630	4412124
41	193445	4412399
42	198465	4417006
43	203348	4418213
44	208267	4419891
45	213120	4419932
46	218425	4428924
47	223855	4439810
48	229252	4449378
49	234716	4459614
50	240616	4477358
51	246234	4489042
52	251237	4489098
53	256146	4487300
54	260978	4484089
55	265890	4482154
56	270844	4480819
57	275633	4476671
58	280570	4474856
59	285295	4469624
60	285466	4394306
61	290359	4392857
62	295292	4391891
63	300140	4389557
64	304929	4386295
65	309747	4383395
66	314579	4380630
67	319403	4377708
68	324275	4375373
69	329099	4372322
70	334242	4373396
71	339136	4371092
72	343968	4367932
73	348859	4365459
74	353707	4362394
75	358536	4359048
76	363324	4355174
77	368168	4351936
78	372967	4348134
79	373067	4290272
80	377939	4287981
81	382796	4285451
82	387615	4282445
83	392466	4279748
84	397322	4277065
85	402165	4274173
86	406984	4270999
87	411762	4267353
88	416535	4263641
89	421398	4260806
90	426231	4257633
91	431029	4254072
92	435890	4251103
93	440713	4247726
94	445542	4244379
95	450368	4240966
96	455191	4237506
97	460030	4234161
98	464842	4230534
99	469676	4227086
100	474569	4224136
101	479452	4221060
102	484324	4217853
103	489203	4214672
104	494062	4211295
105	498974	4208331
106	504056	4206751
107	508837	4202618
108	513723	4199334
109	519863	4206164
110	524976	4204544
111	530035	4202420
112	535028	4199735
113	539882	4195925
114	545059	4194588
115	550939	4198537
116	556853	4202577
117	563377	4211005
118	568701	4210300
119	573652	4206787
120	578430	4201988
121	583231	4197356
122	588026	4192674
123	592912	4188638
124	597769	4184385
125	602630	4180149
126	607433	4175507
127	612247	4170939
128	617030	4166154
129	621823	4161431
130	626619	4156735
131	631431	4152139
132	636310	4147982
133	641216	4143982
134	646367	4141537
135	651213	4137120
136	655960	4132073
137	660770	4127421
138	665561	4122653
139	670422	4118307
140	675229	4113634
141	680064	4109120
142	685479	4108081
143	691981	4113443
144	697546	4113120
